file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes
1000,/2024-01-23,PXL_20240123_235024549.jpg,3175940,0,0,4032,3024,2024:01:23 15:50:24,0232,Google,Pixel 6a,1, ,dup,2,
1001,/2024-01-23,PXL_20240123_235039859.jpg,1984352,0,0,4032,3024,2024:01:23 15:50:39,0232,Google,Pixel 6a,1, ,dup,2,
1002,/2024-01-23,PXL_20240123_235043585.jpg,1880390,0,0,4032,3024,2024:01:23 15:50:43,0232,Google,Pixel 6a,1, ,ok,3,
1003,/2024-01-23,PXL_20240124_000817418.jpg,2945065,37.806506,-122.400422,4032,3024,2024:01:23 16:08:17,0232,Google,Pixel 6a,1, ,ok,3,
1004,/2024-01-23,PXL_20240124_000839776.jpg,2498250,37.806506,-122.400422,4032,3024,2024:01:23 16:08:39,0232,Google,Pixel 6a,1, ,ok,3,
1005,/2024-01-23,PXL_20240124_000955759.PANO.jpg,1731027,37.806481,-122.400108,4798,1666,2024:01:23 16:09:58,0,Google,Pixel 6a,0, ,good,4,
1006,/2024-01-23,PXL_20240124_001016922.PANO.jpg,1752236,37.806492,-122.400094,4728,1620,2024:01:23 16:10:19,0,Google,Pixel 6a,0, ,dup,2,
1007,/2024-01-23,PXL_20240124_001025992.jpg,2915500,37.806492,-122.400094,4032,3024,2024:01:23 16:10:25,0232,Google,Pixel 6a,1, ,ok,3,
1008,/2024-01-23,PXL_20240124_001031771.jpg,3106097,37.806492,-122.400094,4032,3024,2024:01:23 16:10:31,0232,Google,Pixel 6a,1, ,dup,2,
1009,/2024-01-23,PXL_20240124_001051412.PANO.jpg,2000437,37.806492,-122.400094,5220,1629,2024:01:23 16:10:55,0,Google,Pixel 6a,0, ,dup,2,
1010,/2024-01-23,PXL_20240124_001059951.jpg,3249804,37.806492,-122.400094,4032,3024,2024:01:23 16:10:59,0232,Google,Pixel 6a,1, ,dup,2,
1011,/2024-01-23,PXL_20240124_001227694.jpg,3115903,37.806017,-122.400389,4032,3024,2024:01:23 16:12:27,0232,Google,Pixel 6a,1, ,good,4,
1012,/2024-01-23,PXL_20240124_001321032.jpg,1700568,37.806039,-122.400544,4032,3024,2024:01:23 16:13:21,0232,Google,Pixel 6a,1, ,good,4,
1013,/2024-01-23,PXL_20240124_001339125.jpg,1612110,37.806039,-122.400544,4032,3024,2024:01:23 16:13:39,0232,Google,Pixel 6a,1, ,good,4,
1014,/2024-01-23,PXL_20240124_001500949.jpg,3617247,37.804386,-122.403797,4032,3024,2024:01:23 16:15:00,0232,Google,Pixel 6a,1, ,dup,2,
1015,/2024-01-23,PXL_20240124_001508504.jpg,3661259,37.804386,-122.403797,4032,3024,2024:01:23 16:15:08,0232,Google,Pixel 6a,1, ,good,4,
1016,/2024-01-23,PXL_20240124_001511943.jpg,3356438,37.804386,-122.403797,3024,4032,2024:01:23 16:15:11,0232,Google,Pixel 6a,1, ,dup,2,
1017,/2024-01-23,PXL_20240124_001535882.jpg,1746772,37.804386,-122.403797,3024,4032,2024:01:23 16:15:35,0232,Google,Pixel 6a,1, ,dup,2,
1018,/2024-01-23,PXL_20240124_001541283.jpg,1750025,37.804386,-122.403797,3024,4032,2024:01:23 16:15:41,0232,Google,Pixel 6a,1, ,good,4,
1019,/2024-01-23,PXL_20240124_001639772.jpg,2871977,37.804864,-122.4007,4032,3024,2024:01:23 16:16:39,0232,Google,Pixel 6a,1, ,ok,3,
1020,/2024-01-23,PXL_20240124_001713725.jpg,2970317,37.804864,-122.4007,4032,3024,2024:01:23 16:17:13,0232,Google,Pixel 6a,1, ,dup,2,
1021,/2024-01-23,PXL_20240124_001721733.jpg,3088256,37.804864,-122.4007,3024,4032,2024:01:23 16:17:21,0232,Google,Pixel 6a,1, ,dup,2,
1022,/2024-01-23,PXL_20240124_001724441.jpg,3137967,37.804864,-122.4007,3024,4032,2024:01:23 16:17:24,0232,Google,Pixel 6a,1, ,dup,2,
1023,/2024-01-23,PXL_20240124_001739878.jpg,2734680,37.804864,-122.4007,4032,3024,2024:01:23 16:17:39,0232,Google,Pixel 6a,1, ,dup,2,
1024,/2024-01-23,PXL_20240124_001852443.jpg,2863550,37.804547,-122.400633,3024,4032,2024:01:23 16:18:52,0232,Google,Pixel 6a,1, ,dup,2,
1025,/2024-01-23,PXL_20240124_001859531.jpg,2604375,37.804547,-122.400642,4032,3024,2024:01:23 16:18:59,0232,Google,Pixel 6a,1, ,dup,2,
1026,/2024-01-23,PXL_20240124_001925627.jpg,3131800,37.804547,-122.400642,4032,3024,2024:01:23 16:19:25,0232,Google,Pixel 6a,1, ,dup,2,
1027,/2024-01-23,PXL_20240124_001930511.jpg,3578110,37.804547,-122.400642,4032,3024,2024:01:23 16:19:30,0232,Google,Pixel 6a,1, ,dup,2,
1028,/2024-01-23,PXL_20240124_001934297.jpg,2696977,37.804547,-122.400642,4032,3024,2024:01:23 16:19:34,0232,Google,Pixel 6a,1, ,best,5,
1029,/2024-01-23,PXL_20240124_001951488.jpg,2656379,37.804547,-122.400642,3024,4032,2024:01:23 16:19:51,0232,Google,Pixel 6a,1, ,dup,2,
1030,/2024-01-23,PXL_20240124_002015209.jpg,1673115,37.804467,-122.400586,3024,4032,2024:01:23 16:20:15,0232,Google,Pixel 6a,1, ,dup,2,
1031,/2024-01-23,PXL_20240124_002022136.jpg,2306684,37.804467,-122.400586,4032,3024,2024:01:23 16:20:22,0232,Google,Pixel 6a,1, ,dup,2,
