file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim,img_caption,img_intro_paragraph,img_album_uri,img_ext_descr,img_title
1000,,eastern_europe_map.png,331672,0,0,0,0,1969:12:31 16:00:00,0,na,na,0, ,tbd,4,,5.052,,F,-1,,,,,
1001,/2024-04-11,PXL_20240411_123121259.jpg,2105542,50.106111,14.266658,3280,2464,2024:04:11 14:31:21,232,Google,Pixel 6a,1, ,tbd,3,,4.164,,F,-1,,,,,
1002,/2024-04-11,PXL_20240411_142016760.jpg,2578042,50.083931,14.427864,3024,4032,2024:04:11 16:20:16,232,Google,Pixel 6a,1, ,dup,2,,4.693,2024-04-11/PXL_20240411_184942196.NIGHT.jpg,F,0.853244,,,,,
1003,/2024-04-11,PXL_20240411_142025452.jpg,2624974,50.083931,14.427864,3024,4032,2024:04:11 16:20:25,232,Google,Pixel 6a,1, ,good,4,,4.650,,T,-1,,,,,
1004,/2024-04-11,PXL_20240411_142122136.jpg,3100444,50.084311,14.428869,3024,4032,2024:04:11 16:21:22,232,Google,Pixel 6a,1, ,dup,2,,4.635,2024-04-11/PXL_20240411_142025452.jpg,F,0.867698,,,,,
1005,/2024-04-11,PXL_20240411_143319770.jpg,2334073,50.084161,14.429278,3024,4032,2024:04:11 16:33:19,232,Google,Pixel 6a,1, ,dup,2,,4.158,2024-04-11/PXL_20240411_143343386.jpg,F,0.902216,,,,,
1006,/2024-04-11,PXL_20240411_143343386.jpg,2713985,50.084161,14.429278,3024,4032,2024:04:11 16:33:43,232,Google,Pixel 6a,1, ,tbd,4,,4.447,,T,-1,,,,,
1007,/2024-04-11,PXL_20240411_143446920.PORTRAIT.jpg,4674611,50.084167,14.429278,3024,4032,2024:04:11 16:34:46,232,Google,Pixel 6a,1, ,dup,2,,4.446,,F,-1,,,,,
1008,/2024-04-11,PXL_20240411_143504440.PORTRAIT.jpg,4267713,50.084167,14.429278,3024,4032,2024:04:11 16:35:04,232,Google,Pixel 6a,1, ,tbd,4,,4.509,,F,-1,,,,,
1009,/2024-04-11,PXL_20240411_143802946.PORTRAIT.jpg,5991128,50.08415,14.429272,3024,4032,2024:04:11 16:38:02,232,Google,Pixel 6a,1, ,ok,3,,4.213,,F,-1,,,,,
