file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim,img_caption,img_intro_paragraph,img_album_uri,img_ext_descr
1000,/2024-11-12,PXL_20241112_124717033.jpg,2874122,37.615281,-122.389158,4080,3072,2024:11:12 04:47:17,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.671,,F,-1,,,,
1001,/2024-11-12,PXL_20241112_151604165.jpg,1546752,37.611292,-122.389761,3072,4080,2024:11:12 07:16:04,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.292,2024-11-12/PXL_20241112_151612754.jpg,F,0.776238,,,,
1002,/2024-11-12,PXL_20241112_151612754.jpg,1672114,37.611292,-122.389761,4080,3072,2024:11:12 07:16:12,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.414,,T,-1,,,,
1003,/2024-11-12,PXL_20241112_151633498.jpg,2678296,37.611292,-122.389761,3072,4080,2024:11:12 07:16:33,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.041,,F,-1,,,,
1004,/2024-11-12,PXL_20241112_151725644.jpg,2091539,37.611292,-122.389761,3072,4080,2024:11:12 07:17:25,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.617,,F,-1,,,,
1005,/2024-11-12,PXL_20241112_151752426.jpg,1164904,37.611292,-122.389761,3072,4080,2024:11:12 07:17:52,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.545,,F,-1,,,,
1006,/2024-11-12,PXL_20241112_201936074.jpg,1840845,0,0,4080,3072,2024:11:12 10:19:36,0232,Google,Pixel 8 Pro,1, ,tbd,4,,4.703,,F,-1,,,,
1007,/2024-11-13,PXL_20241112_234746493.jpg,2852062,21.333778,-157.923892,4080,3072,2024:11:13 08:47:46,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.592,,F,-1,,,,
1008,/2024-11-13,PXL_20241112_235010458.jpg,961278,21.333778,-157.923892,4080,3072,2024:11:13 08:50:10,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.748,2024-11-13/PXL_20241112_235203001.jpg,F,0.806081,,,,
1009,/2024-11-13,PXL_20241112_235157800.jpg,1079526,21.333778,-157.923892,4080,3072,2024:11:13 08:51:57,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.684,2024-11-13/PXL_20241112_235203001.jpg,F,0.909983,,,,
1010,/2024-11-13,PXL_20241112_235203001.jpg,1063881,21.333778,-157.923892,4080,3072,2024:11:13 08:52:03,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.797,,T,-1,,,,
1011,/2024-11-13,PXL_20241112_235254687.jpg,1094542,21.333778,-157.923892,4080,3072,2024:11:13 08:52:54,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.713,2024-11-13/PXL_20241112_235312615.jpg,F,0.921339,,,,
1012,/2024-11-13,PXL_20241112_235259815.jpg,933809,21.333778,-157.923892,4080,3072,2024:11:13 08:52:59,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.944,,F,-1,,,,
1013,/2024-11-13,PXL_20241112_235312615.jpg,1118583,21.333778,-157.923892,4080,3072,2024:11:13 08:53:12,0232,Google,Pixel 8 Pro,1, ,tbd,4,,4.860,,T,-1,,,,
1014,/2024-11-13,PXL_20241112_235322866.jpg,1149950,21.333778,-157.923892,4080,3072,2024:11:13 08:53:22,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.838,2024-11-13/PXL_20241112_235312615.jpg,F,0.911496,,,,
1015,/2024-11-13,PXL_20241113_114601702.jpg,2856099,37.562261,126.974097,4080,3072,2024:11:13 20:46:01,0232,Google,Pixel 8 Pro,1, ,reject,0,,4.535,,F,-1,,,,
1016,/2024-11-13,PXL_20241113_114607547.jpg,2407615,37.562261,126.974097,3072,4080,2024:11:13 20:46:07,0232,Google,Pixel 8 Pro,1, ,reject,0,,4.266,,F,-1,,,,
1017,/2024-11-14,PXL_20241113_230304954.jpg,3157207,37.562256,126.974097,3072,4080,2024:11:14 08:03:04,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.614,,F,-1,,,,
1018,/2024-11-14,PXL_20241114_000608557.jpg,4368090,37.569086,126.977692,3072,4080,2024:11:14 09:06:08,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.708,2024-11-14/PXL_20241114_000706906.jpg,F,0.823554,,,,
1019,/2024-11-14,PXL_20241114_000706906.jpg,3244216,37.569086,126.977692,3072,4080,2024:11:14 09:07:06,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.863,,T,-1,,,,
1020,/2024-11-14,PXL_20241114_000711380.jpg,3685250,37.569086,126.977692,3072,4080,2024:11:14 09:07:11,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.814,,T,-1,,,,
1021,/2024-11-14,PXL_20241114_000720409.jpg,2386854,37.569086,126.977692,3072,4080,2024:11:14 09:07:20,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.437,2024-11-14/PXL_20241114_000711380.jpg,F,0.761226,,,,
1022,/2024-11-14,PXL_20241114_000740516.jpg,1993051,37.569281,126.977889,3072,4080,2024:11:14 09:07:40,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.591,2024-11-14/PXL_20241114_000706906.jpg,F,0.861995,,,,
1023,/2024-11-14,PXL_20241114_000754428.jpg,2227956,37.569281,126.977889,3072,4080,2024:11:14 09:07:54,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.692,2024-11-14/PXL_20241114_000706906.jpg,F,0.862346,,,,
1024,/2024-11-14,PXL_20241114_001012950.jpg,2465608,37.569281,126.977889,3072,4080,2024:11:14 09:10:12,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.578,2024-11-14/PXL_20241114_001745537.jpg,F,0.758169,,,,
1025,/2024-11-14,PXL_20241114_001107746.jpg,2950485,37.569083,126.978333,3072,4080,2024:11:14 09:11:07,0232,Google,Pixel 8 Pro,1, ,best,5,,4.748,,T,-1,Seoul City Mascot - Haechi,"This inflatable Seoul City mascot was in the Cheonggye Plaza, the first stop for our day long private tour in Seoul. the plaza commemorates the restoration of the Cheonggyecheon Stream which was once an elevated highway. Click the picture below to see a photo album with more pictures of the plaza and our day tour in Seoul.",https://photos.app.goo.gl/rRDb1vPUKbdviZy76,
1026,/2024-11-14,PXL_20241114_001307275.jpg,3380749,37.569406,126.978919,3072,4080,2024:11:14 09:13:07,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.551,2024-11-14/PXL_20241114_044215997.jpg,F,0.753156,,,,
1027,/2024-11-14,PXL_20241114_001310963.LONG_EXPOSURE-02.ORIGINAL.jpg,3863374,37.569406,126.978919,3072,4080,2024:11:14 09:13:10,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.679,2024-11-14/PXL_20241114_000706906.jpg,F,0.752188,,,,
1028,/2024-11-14,PXL_20241114_001310963.LONG_EXPOSURE-01.COVER.jpg,2871007,37.569406,126.978919,3072,4080,2024:11:14 09:13:10,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.835,,F,-1,,,,
1029,/2024-11-14,PXL_20241114_001328249.LONG_EXPOSURE-02.ORIGINAL.jpg,3356950,37.569406,126.978919,3072,4080,2024:11:14 09:13:28,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.463,2024-11-14/PXL_20241114_044215997.jpg,F,0.769274,,,,
1030,/2024-11-14,PXL_20241114_001328249.LONG_EXPOSURE-01.COVER.jpg,2615925,37.569406,126.978919,3072,4080,2024:11:14 09:13:28,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.503,2024-11-14/PXL_20241114_044215997.jpg,F,0.765846,,,,
1031,/2024-11-14,PXL_20241114_001332182.LONG_EXPOSURE-02.ORIGINAL.jpg,3108471,37.569406,126.978919,3072,4080,2024:11:14 09:13:32,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.537,2024-11-14/PXL_20241114_044215997.jpg,F,0.776636,,,,
1032,/2024-11-14,PXL_20241114_001332182.LONG_EXPOSURE-01.COVER.jpg,2471909,37.569406,126.978919,3072,4080,2024:11:14 09:13:32,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.851,2024-11-14/PXL_20241114_044215997.jpg,F,0.777989,,,,
1033,/2024-11-14,PXL_20241114_001416190.jpg,3321100,37.569214,126.978836,4080,3072,2024:11:14 09:14:16,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.697,2024-11-14/PXL_20241114_001418852.jpg,F,0.863906,,,,
1034,/2024-11-14,PXL_20241114_001418852.jpg,4547757,37.569214,126.978836,4080,3072,2024:11:14 09:14:18,0232,Google,Pixel 8 Pro,1, ,ok,3,,5.050,,T,-1,,,,
1035,/2024-11-14,PXL_20241114_001421767.jpg,4861766,37.569214,126.978836,3072,4080,2024:11:14 09:14:21,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.976,2024-11-14/PXL_20241114_001418852.jpg,F,0.900475,,,,
1036,/2024-11-14,PXL_20241114_001745537.jpg,5062354,37.569889,126.982058,4080,3072,2024:11:14 09:17:45,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.825,,T,-1,,,,
1037,/2024-11-14,PXL_20241114_001747589.jpg,5179003,37.569889,126.982058,4080,3072,2024:11:14 09:17:47,0232,Google,Pixel 8 Pro,1, ,tbd,4,,4.912,2024-11-14/PXL_20241114_001418852.jpg,F,0.756568,,,,
1038,/2024-11-14,PXL_20241114_001749970.jpg,4935824,37.569125,126.980089,4080,3072,2024:11:14 09:17:49,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.794,2024-11-14/PXL_20241114_001745537.jpg,F,0.930482,,,,
1039,/2024-11-14,PXL_20241114_001846741.jpg,4194152,37.569125,126.980089,3072,4080,2024:11:14 09:18:46,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.338,2024-11-14/PXL_20241114_001418852.jpg,F,0.801414,,,,
1040,/2024-11-14,PXL_20241114_002013829.jpg,5430653,37.569089,126.980217,4080,3072,2024:11:14 09:20:13,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.684,,F,-1,,,,
1041,/2024-11-14,PXL_20241114_002403757.jpg,3999064,37.569089,126.980217,3072,4080,2024:11:14 09:24:03,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.687,,F,-1,,,,
1042,/2024-11-14,PXL_20241114_002406175.jpg,4096245,37.570278,126.977567,3072,4080,2024:11:14 09:24:06,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.729,2024-11-14/PXL_20241114_011023034.jpg,F,0.755433,,,,
1043,/2024-11-14,PXL_20241114_002507620.jpg,4493147,37.570278,126.977567,3072,4080,2024:11:14 09:25:07,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.758,2024-11-14/PXL_20241114_015415732.jpg,F,0.762070,,,,
1044,/2024-11-14,PXL_20241114_002508306.jpg,4274904,37.570278,126.977567,3072,4080,2024:11:14 09:25:08,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.727,2024-11-14/PXL_20241114_012307438.PANO.jpg,F,0.777510,,,,
1045,/2024-11-14,PXL_20241114_002530654.jpg,2661684,37.570303,126.977364,3072,4080,2024:11:14 09:25:30,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.668,2024-11-14/PXL_20241114_001107746.jpg,F,0.762217,,,,
1046,/2024-11-14,PXL_20241114_002532770.jpg,2773234,37.570303,126.977364,3072,4080,2024:11:14 09:25:32,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.666,2024-11-14/PXL_20241114_001107746.jpg,F,0.762889,,,,
1047,/2024-11-14,PXL_20241114_002927142.jpg,2381291,37.570303,126.977364,4080,3072,2024:11:14 09:29:27,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.604,2024-11-14/PXL_20241114_011023034.jpg,F,0.750918,,,,
1048,/2024-11-14,PXL_20241114_003017075.jpg,2411697,37.575636,126.974086,4080,3072,2024:11:14 09:30:17,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.714,2024-11-14/PXL_20241114_011023034.jpg,F,0.774640,,,,
1049,/2024-11-14,PXL_20241114_003225458.jpg,4398978,37.583386,126.973964,3072,4080,2024:11:14 09:32:25,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.550,2024-11-14/PXL_20241114_003442278.jpg,F,0.803250,,,,
1050,/2024-11-14,PXL_20241114_003230142.jpg,4301712,37.583386,126.973964,3072,4080,2024:11:14 09:32:30,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.536,2024-11-14/PXL_20241114_003238659.jpg,F,0.952272,,,,
1051,/2024-11-14,PXL_20241114_003238659.jpg,4758300,37.583386,126.973964,3072,4080,2024:11:14 09:32:38,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.835,,T,-1,,,,
1052,/2024-11-14,PXL_20241114_003246376.jpg,4313827,37.583386,126.973964,4080,3072,2024:11:14 09:32:46,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.786,2024-11-14/PXL_20241114_003238659.jpg,F,0.936812,,,,
1053,/2024-11-14,PXL_20241114_003425200.jpg,7050682,37.582639,126.972769,3072,4080,2024:11:14 09:34:25,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.735,2024-11-14/PXL_20241114_003442278.jpg,F,0.852609,,,,
1054,/2024-11-14,PXL_20241114_003428355.jpg,7139946,37.583406,126.974306,4080,3072,2024:11:14 09:34:28,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.877,2024-11-14/PXL_20241114_003442278.jpg,F,0.899180,,,,
1055,/2024-11-14,PXL_20241114_003431152.jpg,7069813,37.583406,126.974306,4080,3072,2024:11:14 09:34:31,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.770,2024-11-14/PXL_20241114_003442278.jpg,F,0.834438,,,,
