file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim,img_caption,img_intro_paragraph,img_album_uri,img_ext_descr,img_title
1000,/2024-11-24,PXL_20241123_234029348.jpg,3454889,35.656681,139.755011,4080,3072,2024:11:24 08:40:29,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.943,,F,-1,,,,,
1001,/2024-11-24,PXL_20241123_235518288.jpg,1899128,35.682569,139.797322,4080,3072,2024:11:24 08:55:18,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.264,,F,-1,,,,,
1002,/2024-11-24,PXL_20241123_235652762.jpg,2733044,35.690925,139.796683,3072,4080,2024:11:24 08:56:52,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.880,,F,-1,,,,,
1003,/2024-11-24,PXL_20241124_003401007.jpg,3742554,35.696875,139.797536,4080,3072,2024:11:24 09:34:01,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.435,,F,-1,,,,,
1004,/2024-11-24,PXL_20241124_003537988.jpg,2911112,35.696897,139.798494,4080,3072,2024:11:24 09:35:37,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.221,,F,-1,,,,,
1005,/2024-11-24,PXL_20241124_003908113.jpg,1913177,35.696839,139.800139,3072,4080,2024:11:24 09:39:08,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.779,,F,-1,,,,,
1006,/2024-11-24,PXL_20241124_004044829.jpg,2343696,35.696453,139.800428,3072,4080,2024:11:24 09:40:44,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.132,,F,-1,,,,,
1007,/2024-11-24,PXL_20241124_004139746.jpg,2244519,35.696453,139.800428,3072,4080,2024:11:24 09:41:39,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.002,,F,-1,,,,,
1008,/2024-11-24,PXL_20241124_004315632.jpg,2740018,35.696433,139.800411,3072,4080,2024:11:24 09:43:15,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.421,,F,-1,,,,,
1009,/2024-11-24,PXL_20241124_004737538.jpg,1684049,35.6964,139.800497,3072,4080,2024:11:24 09:47:37,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.484,2024-11-24/PXL_20241124_004747378.jpg,F,0.930070,,,,,
1010,/2024-11-24,PXL_20241124_004747378.jpg,1466357,35.6964,139.800497,3072,4080,2024:11:24 09:47:47,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.787,,T,-1,,,,,
1011,/2024-11-24,PXL_20241124_004749978.jpg,1590608,35.6964,139.800497,3072,4080,2024:11:24 09:47:49,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.430,2024-11-24/PXL_20241124_004747378.jpg,F,0.892248,,,,,
1012,/2024-11-24,PXL_20241124_005035274.jpg,4548155,35.697122,139.801333,3072,4080,2024:11:24 09:50:35,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.313,2024-11-24/PXL_20241124_005037994.jpg,F,0.838984,,,,,
1013,/2024-11-24,PXL_20241124_005037994.jpg,3643082,35.697122,139.801333,3072,4080,2024:11:24 09:50:37,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.398,,T,-1,,,,,
1014,/2024-11-24,PXL_20241124_005041910.jpg,2569912,35.697122,139.801333,3072,4080,2024:11:24 09:50:41,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.348,,F,-1,,,,,
1015,/2024-11-24,PXL_20241124_005103566.jpg,3820314,35.697122,139.801333,4080,3072,2024:11:24 09:51:03,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.281,2024-11-24/PXL_20241124_005037994.jpg,F,0.805062,,,,,
1016,/2024-11-24,PXL_20241124_005152959.jpg,4555624,35.697122,139.801333,3072,4080,2024:11:24 09:51:52,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.316,2024-11-24/PXL_20241124_005157268.jpg,F,0.890233,,,,,
1017,/2024-11-24,PXL_20241124_005157268.jpg,4657008,35.697122,139.801333,4080,3072,2024:11:24 09:51:57,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.343,,T,-1,,,,,
1018,/2024-11-24,PXL_20241124_005410861.jpg,2761682,35.697106,139.801483,4080,3072,2024:11:24 09:54:10,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.810,,F,-1,,,,,
1019,/2024-11-24,PXL_20241124_005421143.jpg,3344739,35.697106,139.801483,3072,4080,2024:11:24 09:54:21,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.234,2024-11-24/PXL_20241124_005456796.jpg,F,0.934678,,,,,
1020,/2024-11-24,PXL_20241124_005437080.jpg,2496382,35.697106,139.801483,3072,4080,2024:11:24 09:54:37,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.315,2024-11-24/PXL_20241124_005456796.jpg,F,0.932263,,,,,
1021,/2024-11-24,PXL_20241124_005456796.jpg,3296852,35.697106,139.801483,4080,3072,2024:11:24 09:54:56,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.457,,T,-1,,,,,
1022,/2024-11-24,PXL_20241124_005554295.jpg,3458548,35.697003,139.801433,3072,4080,2024:11:24 09:55:54,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.854,,F,-1,,,,,
1023,/2024-11-24,PXL_20241124_005756727.jpg,4243449,35.697003,139.801433,4080,3072,2024:11:24 09:57:56,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.333,,F,-1,,,,,
1024,/2024-11-24,PXL_20241124_010047397.jpg,4753297,35.696975,139.801481,3072,4080,2024:11:24 10:00:47,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.430,2024-11-24/PXL_20241124_010112201.jpg,F,0.809974,,,,,
1025,/2024-11-24,PXL_20241124_010048738.jpg,4717838,35.696975,139.801481,3072,4080,2024:11:24 10:00:48,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.439,,F,-1,,,,,
1026,/2024-11-24,PXL_20241124_010112201.jpg,4515238,35.696975,139.801481,3072,4080,2024:11:24 10:01:12,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.721,,T,-1,,,,,
1027,/2024-11-24,PXL_20241124_010119283.jpg,4543833,35.696975,139.801481,3072,4080,2024:11:24 10:01:19,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.469,2024-11-24/PXL_20241124_010112201.jpg,F,0.802057,,,,,
1028,/2024-11-24,PXL_20241124_010202445.jpg,3055362,35.696778,139.801639,3072,4080,2024:11:24 10:02:02,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.207,2024-11-24/PXL_20241124_005456796.jpg,F,0.829793,,,,,
1029,/2024-11-24,PXL_20241124_010205220.jpg,3316006,35.696778,139.801639,3072,4080,2024:11:24 10:02:05,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.060,2024-11-24/PXL_20241124_005456796.jpg,F,0.832967,,,,,
