file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim,img_caption,img_intro_paragraph,img_album_uri,img_ext_descr,img_title
1000,/2024-12-10,PXL_20241209_225151780.jpg,2106455,22.326328,114.137419,4080,3072,2024:12:10 06:51:51,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.222,2024-12-10/PXL_20241209_225151146.jpg,F,0.811203,,,,,
1001,/2024-12-10,PXL_20241209_225151146.jpg,2040391,22.326328,114.137419,4080,3072,2024:12:10 06:51:51,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.397,,T,-1,,,,,
1002,/2024-12-10,PXL_20241209_225152544.jpg,2065181,22.326014,114.136992,4080,3072,2024:12:10 06:51:52,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.157,2024-12-10/PXL_20241209_225151146.jpg,F,0.890143,,,,,
1003,/2024-12-10,PXL_20241210_010731658.jpg,2799901,22.313842,113.929861,3072,4080,2024:12:10 09:07:31,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.710,,F,-1,,,,,
1004,/2024-12-10,PXL_20241210_055109089.jpg,1394695,0,0,3072,4080,2024:12:10 13:51:09,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.422,,F,-1,,,,,
1005,/2024-12-10,PXL_20241210_095828394.jpg,2458457,14.533094,120.979397,4080,3072,2024:12:10 17:58:28,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.185,,F,-1,,,,,
1006,/2024-12-11,PXL_20241210_194647488.jpg,2494752,14.509022,121.012408,4080,3072,2024:12:11 03:46:47,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.064,2024-12-11/PXL_20241210_194718293.jpg,F,0.836409,,,,,
1007,/2024-12-11,PXL_20241210_194702864.jpg,2099940,14.509022,121.012408,4080,3072,2024:12:11 03:47:02,0232,Google,Pixel 8 Pro,1, ,reject,0,,4.858,,F,-1,,,,,
1008,/2024-12-11,PXL_20241210_194714711.jpg,2927767,14.509022,121.012408,4080,3072,2024:12:11 03:47:14,0232,Google,Pixel 8 Pro,1, ,reject,0,,4.325,,F,-1,,,,,
1009,/2024-12-11,PXL_20241210_194718293.jpg,2426139,14.509022,121.012408,4080,3072,2024:12:11 03:47:18,0232,Google,Pixel 8 Pro,1, ,reject,0,,4.147,,T,-1,,,,,
1010,/2024-12-11,PXL_20241210_214446339.jpg,2025303,14.514192,121.010494,4080,3072,2024:12:11 05:44:46,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.382,2024-12-11/PXL_20241210_214453789.jpg,F,0.826573,,,,,
1011,/2024-12-11,PXL_20241210_214453789.jpg,1701852,14.514192,121.010494,4080,3072,2024:12:11 05:44:53,0232,Google,Pixel 8 Pro,1, ,best,5,,5.574,,T,-1,Early Morning Flight to Batanes,Batanes is the northern most island of the Philippines.,https://photos.app.goo.gl/eZbq1NPQQM21AQ74A,,"Dec 11, 2024 Fly to Batanes, Philippines"
1012,/2024-12-11,PXL_20241210_214455138.jpg,1842701,14.514192,121.010494,4080,3072,2024:12:11 05:44:55,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.573,,F,-1,,,,,
1013,/2024-12-11,PXL_20241210_215325328.jpg,1663790,14.514186,121.010594,3072,4080,2024:12:11 05:53:25,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.768,,F,-1,,,,,
1014,/2024-12-11,PXL_20241210_220639369.jpg,1244543,14.513775,121.011783,4080,3072,2024:12:11 06:06:39,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.083,,F,-1,,,,,
