file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim,img_caption,img_intro_paragraph,img_album_uri,img_ext_descr,img_title
1000,/2024-11-14,PXL_20241114_001107746.jpg,2950485,37.569083,126.978333,3072,4080,2024:11:14 09:11:07,232,Google,Pixel 8 Pro,1, ,tbd,3,,4.748,,F,-1,,,,,
1001,/2024-11-14,PXL_20241114_011948160.jpg,2925593,37.576344,126.976978,4080,3072,2024:11:14 10:19:48,232,Google,Pixel 8 Pro,1, ,tbd,4,,5.028,,F,-1,,,,,
1002,/2024-11-14,PXL_20241114_025210579.jpg,2285962,37.58215,126.983719,3072,4080,2024:11:14 11:52:10,232,Google,Pixel 8 Pro,1, ,dup,2,,4.571,2024-11-14/PXL_20241114_030105371.jpg,F,0.782107,,,,,
1003,/2024-11-14,PXL_20241114_044541295.jpg,4522305,37.573878,126.982106,4080,3072,2024:11:14 13:45:41,232,Google,Pixel 8 Pro,1, ,tbd,3,,4.717,,F,-1,,,,,
1004,/2024-11-15,PXL_20241114_232522479.jpg,3701576,37.890247,126.738661,4080,3072,2024:11:15 08:25:22,232,Google,Pixel 8 Pro,1, ,tbd,3,,4.872,,F,-1,,,,,
1005,/2024-11-16,PXL_20241116_003416446.jpg,3225615,35.789511,129.332075,4080,3072,2024:11:16 09:34:16,232,Google,Pixel 8 Pro,1, ,dup,2,,4.998,2024-11-16/PXL_20241116_003528618.jpg,F,0.770397,,,,,
1006,/2024-11-16,PXL_20241116_064351712.jpg,4986407,35.839997,129.211842,4080,3072,2024:11:16 15:43:51,232,Google,Pixel 8 Pro,1, ,tbd,3,,4.822,,F,-1,,,,,
1007,/2024-11-16,PXL_20241116_080153087.jpg,2031474,35.835692,129.219567,4080,3072,2024:11:16 17:01:53,232,Google,Pixel 8 Pro,1, ,tbd,4,,5.048,,F,-1,,,,,
1008,/2024-11-16,PXL_20241116_084936747.jpg,2623050,35.835028,129.226525,3072,4080,2024:11:16 17:49:36,232,Google,Pixel 8 Pro,1, ,tbd,4,,5.478,,F,-1,,,,,
1009,/2024-11-17,PXL_20241117_053035178.jpg,3490879,37.551581,126.988072,3072,4080,2024:11:17 14:30:35,232,Google,Pixel 8 Pro,1, ,dup,2,,4.673,2024-11-17/PXL_20241117_053155200.PANO.jpg,F,0.835809,,,,,
1010,/2024-11-17,PXL_20241117_075205826.jpg,2999108,37.517072,126.97085,4080,3072,2024:11:17 16:52:05,232,Google,Pixel 8 Pro,1, ,tbd,4,,5.232,,F,-1,,,,,
1011,/2024-11-18,PXL_20241118_030335308.jpg,4538805,38.163875,128.486814,4080,3072,2024:11:18 12:03:35,232,Google,Pixel 8 Pro,1, ,tbd,4,,5.294,,F,-1,,,,,
1012,/2024-11-18,3067d0a4-7ed9-47c6-b46d-9dd5390dc904.jpg,4954092,0,0,4000,3000,2024:11:18 13:42:03,220,samsung,Galaxy S23 Ultra,6, ,dup,2,,5.051,2024-11-18/93c00b7c-aea8-44f0-a3b0-83189b3084a2.jpg,F,0.952721,,,,,
1013,/2024-11-18,PXL_20241118_062759510.jpg,4780668,38.126386,128.629742,4080,3072,2024:11:18 15:27:59,232,Google,Pixel 8 Pro,1, ,tbd,3,,4.985,,F,-1,,,,,
1014,/2024-11-19,PXL_20241119_082444855.jpg,2440844,43.05595,141.353242,4080,3072,2024:11:19 17:24:44,232,Google,Pixel 8 Pro,1, ,tbd,3,,4.490,,F,-1,,,,,
1015,/2024-11-19,PXL_20241119_091936534.NIGHT.jpg,2224268,43.061136,141.356625,3072,4080,2024:11:19 18:19:36,232,Google,Pixel 8 Pro,1, ,tbd,4,,5.111,,F,-1,,,,,
1016,/2024-11-20,PXL_20241120_011147775.jpg,2606971,42.856314,141.097647,4080,3072,2024:11:20 10:11:47,232,Google,Pixel 8 Pro,1, ,tbd,4,,5.055,,F,-1,,,,,
