file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target
1000,/2025-04-20_sf,PXL_20250420_210703125.jpg,4147382,37.804875,-122.401258,4080,3072,2025:04:20 14:07:03,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.335,,F
1001,/2025-04-20_sf,PXL_20250421_031135263.jpg,3199001,37.791297,-122.391906,4080,3072,2025:04:20 20:11:35,0232,Google,Pixel 8 Pro,1, ,best,5,,4.253,,F
1002,/2025-04-21_at_sea,PXL_20250421_141042227.jpg,2722692,35.898978,-123.101236,4080,3072,2025:04:21 07:10:42,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.083,2025-04-21_at_sea/PXL_20250421_143221547.jpg,F
1003,/2025-04-21_at_sea,PXL_20250421_141058303.jpg,2528619,35.898978,-123.101236,4080,3072,2025:04:21 07:10:58,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.835,,T
1004,/2025-04-21_at_sea,PXL_20250421_141503995.jpg,2267210,35.887361,-123.100403,4080,3072,2025:04:21 07:15:03,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.646,2025-04-21_at_sea/PXL_20250421_141058303.jpg,F
1005,/2025-04-21_at_sea,PXL_20250421_141546737.jpg,1823453,35.887361,-123.100403,4080,3072,2025:04:21 07:15:46,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.663,2025-04-21_at_sea/PXL_20250421_143221547.jpg,F
1006,/2025-04-21_at_sea,PXL_20250421_141610526.jpg,1226494,35.88385,-123.100117,4080,3072,2025:04:21 07:16:10,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.840,2025-04-21_at_sea/PXL_20250421_143221547.jpg,F
1007,/2025-04-21_at_sea,PXL_20250421_141615525.jpg,1809793,35.88385,-123.100117,4080,3072,2025:04:21 07:16:15,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.972,2025-04-21_at_sea/PXL_20250421_143221547.jpg,F
1008,/2025-04-21_at_sea,PXL_20250421_141620743.jpg,1639120,35.88385,-123.100117,4080,3072,2025:04:21 07:16:20,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.969,,F
1009,/2025-04-21_at_sea,PXL_20250421_141756562.jpg,3138711,35.879939,-123.099925,4080,3072,2025:04:21 07:17:56,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.569,2025-04-21_at_sea/PXL_20250421_143221547.jpg,F
