file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target
1000,/2025-06-06,PXL_20250606_234428594.jpg,3493053,37.806781,-122.412008,4080,3072,2025:06:06 16:44:28,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.221,2025-06-06/PXL_20250606_234439508.jpg,F
1001,/2025-06-06,PXL_20250606_234431316.jpg,3726286,37.806781,-122.412008,4080,3072,2025:06:06 16:44:31,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.432,2025-06-06/PXL_20250606_234439508.jpg,F
1002,/2025-06-06,PXL_20250606_234435889.jpg,3349933,37.806781,-122.412008,4080,3072,2025:06:06 16:44:35,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.227,2025-06-06/PXL_20250606_234439508.jpg,F
1003,/2025-06-06,PXL_20250606_234437347.jpg,3744286,37.806781,-122.412008,4080,3072,2025:06:06 16:44:37,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.257,2025-06-06/PXL_20250606_234439508.jpg,F
1004,/2025-06-06,PXL_20250606_234439508.jpg,3687408,37.806781,-122.412008,4080,3072,2025:06:06 16:44:39,0232,Google,Pixel 8 Pro,1, ,best,5,,4.453,,T
1005,/2025-06-06,PXL_20250606_234618317.jpg,2979105,37.818072,-122.47255,4080,3072,2025:06:06 16:46:18,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.518,,F
1006,/2025-06-06,PXL_20250606_234624653.jpg,3745711,37.818072,-122.47255,4080,3072,2025:06:06 16:46:24,0232,Google,Pixel 8 Pro,1, ,good,4,,4.803,,F
1007,/2025-06-06,PXL_20250606_234947495.jpg,2361261,37.773161,-122.479281,4080,3072,2025:06:06 16:49:47,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.967,,F
1008,/2025-06-06,PXL_20250606_234956136.jpg,1891374,37.814528,-122.492631,4080,3072,2025:06:06 16:49:56,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.649,,F
1009,/2025-06-06,PXL_20250607_000053480.PORTRAIT.jpg,2818204,37.814528,-122.492631,3072,4080,2025:06:06 17:00:53,0232,Google,Pixel 8 Pro,1, ,good,4,,5.084,,F
1010,/2025-06-08,PXL_20250608_143709503.jpg,1937710,47.8152,-128.123881,4080,3072,2025:06:08 07:37:09,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.911,,F
1011,/2025-06-09,PXL_20250609_142915595.jpg,1890927,55.101553,-131.136561,3072,4080,2025:06:09 06:29:15,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.574,2025-06-09/PXL_20250609_142923276.jpg,F
1012,/2025-06-09,PXL_20250609_142923276.jpg,1703799,55.101553,-131.136561,4080,3072,2025:06:09 06:29:23,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.626,,T
1013,/2025-06-09,PXL_20250609_143041329.PANO.jpg,2027287,55.108083,-131.137664,4030,1609,2025:06:09 06:30:44,0,Google,Pixel 8 Pro,0, ,ok,3,,5.378,,F
1014,/2025-06-09,PXL_20250609_143100519.jpg,1849125,55.108083,-131.137664,4080,3072,2025:06:09 06:31:00,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.733,,F
1015,/2025-06-09,PXL_20250609_143412609.jpg,2486927,55.125261,-131.139511,4080,3072,2025:06:09 06:34:12,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.972,,T
1016,/2025-06-09,PXL_20250609_143418158.jpg,1528918,55.125261,-131.139511,4080,3072,2025:06:09 06:34:18,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.862,2025-06-09/PXL_20250609_143412609.jpg,F
1017,/2025-06-09,PXL_20250609_143425830.jpg,1842619,55.125261,-131.139511,3072,4080,2025:06:09 06:34:25,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.649,2025-06-09/PXL_20250609_143412609.jpg,F
