file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim
1000,,initial_map.png,241746,0,0,876,652,1969:12:31 16:00:00,0,na,na,0, ,reject,0,,4.727,,F,-1
1001,/2026-01-01,PXL_20260101_014917538.jpg,1486078,14.532894,120.986172,3072,4080,2026:01:01 09:49:17,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.959,,F,-1
1002,/2026-01-02,PXL_20260101_234551722.jpg,2334965,-37.668317,144.847661,3072,4080,2026:01:02 12:45:51,0232,Google,Pixel 8 Pro,1, ,reject,0,,4.413,,F,-1
1003,/2026-01-03,PXL_20260102_201321325.jpg,3220364,-36.835619,174.748633,4080,3072,2026:01:03 09:13:21,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.099,2026-01-03/PXL_20260102_201326735.jpg,F,0.931624
1004,/2026-01-03,PXL_20260102_201326735.jpg,3145182,-36.835619,174.748633,3072,4080,2026:01:03 09:13:26,0232,Google,Pixel 8 Pro,1, ,ok,3,,5.236,,T,-1
1005,/2026-01-03,PXL_20260102_201636679.PANO.jpg,14271196,-36.83575,174.7497,16896,2784,2026:01:03 09:16:36,0232,Google,Pixel 8 Pro,1, ,good,4,,5.313,,T,-1
1006,/2026-01-03,PXL_20260102_201714769.jpg,2923531,-36.83575,174.7497,4080,3072,2026:01:03 09:17:14,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.091,2026-01-03/PXL_20260102_201326735.jpg,F,0.921948
1007,/2026-01-03,PXL_20260102_201721143.jpg,3460293,-36.83575,174.7497,4080,3072,2026:01:03 09:17:21,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.966,,F,-1
1008,/2026-01-03,PXL_20260102_202029274.jpg,2622596,-36.835772,174.750078,4080,3072,2026:01:03 09:20:29,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.690,2026-01-03/PXL_20260102_202032114.jpg,F,0.927283
1009,/2026-01-03,PXL_20260102_202032114.jpg,2644931,-36.835772,174.750078,3072,4080,2026:01:03 09:20:32,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.950,,T,-1
