Directory Name,Full Path,File Count,Total Size (MB),Directory Hash,dup_cnt,run_date
2002 8 X 10s,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 8 X 10s,6,3.96,7cc34ca3ed650f99a765539e1b61dede,0,2026-03-27
2002 8 X 10s Maybe,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 8 X 10s Maybe,7,4.58,c41e2d23213f48bbf162d75b2fb4ca46,0,2026-03-27
2002 Ariadne & Beth Selected 2,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 Ariadne & Beth Selected 2,30,21.2,a98cbf2afcc45d26a446d671bd4ea112,0,2026-03-27
2002 Josh and Jonathan Selected 1,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 Josh and Jonathan Selected 1,20,10.55,2a5118e2fc8d9b3e67ea7543f63c67a5,0,2026-03-27
2002 National Parks Entries,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 National Parks Entries,13,7.84,985ad80cb38738a90665bcdc0673773a,0,2026-03-27
2002-12 Asia Flipbook,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 SE Asia Selected/2002-12 Asia Flipbook,40,25.76,950d527c1d15d65fe9e8587e7c0d5fe7,0,2026-03-27
2002-12 Asia Selected 2,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 SE Asia Selected/2002-12 Asia Selected 2,67,43.27,1e5ebeae4091ff22a0288083947cbb7b,0,2026-03-27
2002-12 Asia Selected 3,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 SE Asia Selected/2002-12 Asia Selected 3,16,10.08,8a655871bacf0dea4c4250cafc82b2df,0,2026-03-27
2002-12 Asia Tourist Pics Selected 1,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002 SE Asia Selected/2002-12 Asia Tourist Pics Selected 1,75,47.73,c16d3fd1e8a8d618822449347173d5c2,0,2026-03-27
2002-03 Europe Selected 4,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002-03 Europe Selected 4,31,16.43,fa3d6b64565477492c9a3049d2ebf5c1,0,2026-03-27
2002-08 Alaska Selected 2,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002-08 Alaska Selected 2,40,26.38,12eccb5c809083fc8884b1200964a806,0,2026-03-27
2002-11 Trip with Dad Selected 2,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/2002-11 Trip with Dad Selected 2,20,11.54,cd104eb454a3a868971090c406286a94,0,2026-03-27
China 2002 Selected 3,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/China 2002 Selected 3,16,10.01,f9e84d4326989e361347f90abaa1a29b,1,2026-03-27
China 2002 Tourist Sights,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/China 2002 Tourist Sights,72,42.43,1b909f1133938e14bf415b10a48c1db9,1,2026-03-27
Favorites 2002 Selected 3,/Volumes/My Passport/photos/2002_photos/2002_jpg_selected/Favorites 2002 Selected 3,30,18.48,cb32d7df61319aa41dbc3c5f35b947d1,0,2026-03-27
2003 NP Contest Entries 2,/Volumes/My Passport/photos/2003_photos/2003_jpg_selected/2003 NP Contest Entries 2,65,38.95,abd0e54920e3f863a5b73136ff8b9686,0,2026-03-27
2003 NP Contest Entries 2 Selected 3,/Volumes/My Passport/photos/2003_photos/2003_jpg_selected/2003 NP Contest Entries 2 Selected 3,20,11.24,3230b37c3a607ce9b0383cc08e7ddf35,0,2026-03-27
Selected 2,/Volumes/My Passport/photos/2003_photos/2003_jpg_selected/2003-04 Holland Trip Selected/Selected 2,40,22.11,7eeb6d94b9ff6621fa12c596685f9999,0,2026-03-27
Selected 3,/Volumes/My Passport/photos/2003_photos/2003_jpg_selected/2003-04 Holland Trip Selected/Selected 3,23,12.33,3899297046a02724b65f34737c11eb35,0,2026-03-27
