Directory Name,Full Path,File Count,Total Size (MB),Directory Hash
2024-09-25,/Users/douglasgarrett/Documents/pictures/test_root/sub folder 2/2024-09-25,16,52.55,643ea2e375a89e2efc152a72e61ec9f9
2024-09-09,/Users/douglasgarrett/Documents/pictures/test_root/sub folder 1/2024-09-09,18,39.98,64d1a0b014f42a8f66916e61ced52f82
diagona-icons-1,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/diagona-icons-1,1,0.08,b7a4f66f5b3522028a1b647eb0903968
16,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/diagona-icons-1/icons/16,200,0.1,b5056597db69004cd33e0a9addd165d8
10,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/diagona-icons-1/icons/10,200,0.07,e280aa90e28d1d6870d71b2e4976a3c3
fugue-icons-3,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3,1,0.01,56583eef96a31b20a788b13c5ffb9ce9
icons-32,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/bonus/icons-32,76,0.1,7c68d8a02e0b436ca8ac3f2461b1d0ae
icons-shadowless-24,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/bonus/icons-shadowless-24,256,0.25,7454d87edb1696fed00713f220c0120b
icons-shadowless-32,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/bonus/icons-shadowless-32,76,0.09,896a6a4836f6f6d661a41ec2c18f055c
icons-24,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/bonus/icons-24,256,0.26,ce86bc67b718aa334637d4fe7522e47d
icons-shadowless-24,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/bonus/animated/icons-shadowless-24,1,0.0,548c691ca8c90f442b8f4aca064398b3
icons,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/bonus/animated/icons,14,0.04,f7c8104ee57f59f00d95061935f2d934
icons-24,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/bonus/animated/icons-24,1,0.0,640020dcdb3e2c6aaa0fa8c5899ac557
icons-shadowless,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/bonus/animated/icons-shadowless,14,0.04,66a318b71cb937b1a4d72a1c8edce348
icons,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/icons,3551,2.51,e40c750fcbab43173077c55659626d33
icons-shadowless,/Users/douglasgarrett/Documents/pictures/p.yusukekamiyamane icons/fugue-icons-3/icons-shadowless,3551,2.42,62964ae493243294e1438fbc365c3d9e
2025-08-02,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025-08_FL_visitors/2025-08-02,27,76.72,6e754853327146c60e9961d8189ace7d
2025-08-05,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025-08_FL_visitors/2025-08-05,64,171.1,1b546b74822e47151c6b21e906ec7654
2025-08-04,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025-08_FL_visitors/2025-08-04,50,248.56,f188ed348489ee0091f0cfd2e7a93cbc
2025-08-03,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025-08_FL_visitors/2025-08-03,121,432.37,ba53c902749892a58f9ceabd51155a18
2025-08_FL_visitors_videos,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025-08_FL_visitors/2025-08_FL_visitors_videos,10,160.91,77539f1557a110456523244d063f0069
2025_videos,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_videos,121,3544.35,0b6d80c310e46b4a2e855dce50edfdcf
2025-07-22,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-07-22,3,6.11,f1cb71702b9f5ce8882b48dda44aabd0
2025-07-14,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-07-14,3,11.19,be8e91facf5754de5d9accab810572f7
2025-08-08,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-08-08,1,3.0,894c2a86789e544bac3ccb079ae49020
2025-08-06,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-08-06,4,10.39,116278eca1902e6f4466a9d2e306f96b
2025-07-15,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-07-15,5,17.4,e4740f4e958a2d0f0b04792084997cda
2025-07-12,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-07-12,4,8.65,4ad0c89bf8af27d05971708f94441a93
2025-07-24,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-07-24,4,8.54,31c610db2aacf0ecc8e79fbeb5fa6e33
2025-07-23,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-07-23,6,13.21,743ceefad5deff9b823ce01de5ceb0d5
2025-08-07,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-08-07,2,8.94,ca2a1fe130bca6e0a17ad10a16085008
2025-05-29,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-05-29,10,28.94,0f56a2f35af28b981e0b8dbc593f15e1
2025-05-20,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-05-20,7,30.81,8a4bf06257c858b08b964a8190e46300
2025-05-27,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-05-27,7,33.11,822b1d2ec28b0b426ed04257bd9cfa1c
2025-05-18,/Users/douglasgarrett/Documents/pictures/2025_pictures/2025_misc/2025-05-18,2,8.34,7c76d7e3722b39f04fb35d0fb026e4d9
